begin time,end time,turn,Overlap,Interruption,Successful interruption,turn.holder,speaker,Chinese,Pinyin,English,addressee,arguable.move,issue at stake,substance,whats offered,strategy.detail,strategy,strategy.meaning,option,option.details,target.detail,valence,attitude,explicitness,invocation.signal,trigger,attitude.realisation,graduation.detail,graduation.realisation,engagement.detail,engage.realisation,particle
02:30.4,02:31.5,3,,,,Husband_H03_WH,Husband_H03_WH,干嘛喽,Gàn ma lou,What’s up,antagonist,,,,,,,,,,,,,,,,,,,,,
02:31.3,02:36.7,4,,,,Wife_H03_AW,Wife_H03_AW,我太痛苦了（哭泣）,Wǒ tài tòngkǔle (Kūqì),I feel too miserable (cry),antagonist,,,,,,,,,,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,痛苦,up:isolated,太……了,monoglossic,,
02:36.7,02:38.2,5,,,,Husband_H03_WH,Husband_H03_WH,（听不清）哭,(tīng bù qīng) kū,(inaudible) cry.,antagonist,,,,,,,,,,,,,,,,,,,,,
02:38.2,02:39.2,5,,,,,Husband_H03_WH,[给妻子纸巾] 给你来,gěi nǐ lái.,[giving the wife a tissue]  Here you are,antagonist,,,,,,,,,,,,,,,,,,,,,
02:39.2,02:43.8,6,,,,Wife_H03_AW,Wife_H03_AW,（哭泣）他太不尊重我了,(Kūqì) tā tài bù zūnzhòng wǒle,(cry) He is too disrespectful to me,hostess,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,不尊重,up:isolated,,monoglossic,,
02:43.8,02:45.5,6,,,,,Wife_H03_AW,把我当透明人一样,Bǎ wǒ dāng tòumíng rén yīyàng.,he treats me like a transparent person.,hostess,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,当透明人,up:infused,,monoglossic,,
02:46.3,02:48.4,7,,,,Hostess_H03,Hostess_H03,那今天来到这儿你是希望,Nà jīntiān lái dào zhè'er nǐ shì xīwàng,So by coming here today.. you hope to,wife,,,,,,,,,,,,,,,,,,,,,
02:48.4,02:50.2,8,,,,Wife_H03_AW,Wife_H03_AW,我希望他能改变,Wǒ xīwàng tā néng gǎibiàn.,I hope he can change.,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,irrealis Affect,,改变,,,expand:entertain,希望,
02:50.2,02:53.6,8,,,,,Wife_H03_AW,异性方面就是说保持一定距离,Yìxìng fāngmiàn jiùshì shuō bǎochí yīdìng jùlí.,that is to say to keep certain distance from the opposite sex.,hostess,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,保持距离,down:isolated,一定,expand:entertain,方面,
02:53.6,02:55.0,9,,I,S,Hostess_H03,Hostess_H03,就这一个问题吗,Jiù zhè yīgè wèntí ma,Only this problem,wife,,,,,,,,,,,,,,,,,,,,,
02:55.0,02:55.6,10,,,,Wife_H03_AW,Wife_H03_AW,对,Duì.,Yes..,hostess,,,,,,,,,,,,,,,,,,,,,
02:55.6,02:57.8,10,,,,,Wife_H03_AW,还有他不懂得关心我,Hái yǒu tā bù dǒngdé guānxīn wǒ.,also.. he doesn't know (that he should and/or how) to care for me.,hostess,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,不关心,,,monoglossic,,
02:57.8,02:59.9,11,,I,S,Hostess_H03,Hostess_H03,你是需要他关心你,Nǐ shì xūyào tā guānxīn nǐ,Do you need him to care for you,wife,,,,,,,,,,,,,,,,,,,,,
02:59.9,03:02.0,12,,,,Wife_H03_AW,Wife_H03_AW,（哭泣）,(Kūqì),(cry),,,,,,,,,,,,,,,,,,,,,,
03:02.0,03:06.6,12,,,,,Wife_H03_AW,我从去年十一月份病了差不多快两个月吃药打针,Wǒ cóng qùnián shíyī yuèfèn bìngle chàbùduō kuài liǎng gè yuè chī yào dǎzhēn.,I have taken medications for almost two months since I became sick last November.,hostess,,,,,,,,,,,,,,,,,,,,,
03:06.6,03:08.3,12,,,,,Wife_H03_AW,他都不知道的,Tā dōu bù zhīdào de.,He didn't even know.,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,denial,,不知道,,,contract:disclaim:counter,都,
03:08.3,03:09.8,12,,,,,Wife_H03_AW,他没问过我一次,Tā méi wènguò wǒ yīcì.,He didn't ask me even once.,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,denial,,没问,up:isolated,一次,contract:disclaim:counter,一次,
03:09.8,03:17.0,12,,,,,Wife_H03_AW,（哭泣）,(Kūqì),(cry),,,,,,,,,,,,,,,,,,,,,,
03:17.0,03:20.4,13,,I,S,Hostess_H03,Hostess_H03,柯先生..你来到这儿你是,kē xiānshēng.. nǐ lái dào zhè'er nǐ shì,Mr. Ke.. why are you here,husband,,,,,,,,,,,,,,,,,,,,,
03:20.4,03:22.1,14,,,,Husband_H03_WH,Husband_H03_WH,感情上有点问题吧,Gǎnqíng shàng yǒudiǎn wèntí ba.,I feel we have some problem with our relationship.,hostess,,,,,,,,,,relationship,-ve,appreciation,inscribe,,,有问题,down:isolated,有点,expand:entertain,吧,吧
03:22.1,03:24.1,14,,,,,Husband_H03_WH,想办法把它解决掉,Xiǎng bànfǎ bǎ tā jiějué diào.,I want to find a way to solve it.,hostess,,,,,,,,,,self,+ve,judgement,invoke,irrealis Affect,,解决,up:isolated,掉,monoglossic,,
03:24.1,03:25.8,14,,,,,Husband_H03_WH,到底是哪个地方出了问题,Dàodǐ shì nǎge dìfāng chūle wèntí.,Basically what went wrong.. ,hostess,,,,,,,,,,,,,,,,,,,,,
03:25.8,03:27.1,14,,,,,Husband_H03_WH,我两个人都不知道,Wǒ liǎng gèrén dōu bù zhīdào.,neither of us know.,hostess,,,,,,,,,,,,,,,,,,,,,
03:28.4,03:32.2,15,,I,S,Hostess_H03,Hostess_H03,那你觉得王女士这样一个状态..这个婚姻到底出现什么问题,Nà nǐ juédé wáng nǚshì zhèyàng yīgè zhuàngtài.. zhège hūnyīn dàodǐ chūxiàn shénme wèntí,Then seeing Ms. Wang's situation.. what do you think is the problem in your marriage,husband,,,,,,,,,,relationship,-ve,appreciation,inscribe,,,,,,expand:entertain,,
03:32.2,03:33.5,16,,,,Husband_H03_WH,Husband_H03_WH,有可能是我没关心她,Yǒu kěnéng shì wǒ méi guānxīn tā.,It may be that I didn't care for her.,hostess,IVoE,,,,,,,,,self,-ve,judgement,inscribe,,,没关心,,,expand:entertain,有可能,
03:33.5,03:35.8,16,,,,,Husband_H03_WH,我关心全世界的人就没有关心她,Wǒ guānxīn quán shìjiè de rén jiù méiyǒu guānxīn tā.,I care for everyone in the world but not her. ,hostess,ExAss,,,,,,,,,self,-ve,judgement,inscribe,,,没关心,,,contract:disclaim,就,
03:35.8,03:37.6,16,,,,,Husband_H03_WH,这个是为什么也要问她自己,Zhège shì wèishéme yě yào wèn tā zìjǐ.,Why is this.. it's necessary to ask herself.,hostess,IVoE,,,,,,,,,antagonist,-ve,judgement,invoke,directive,,问她,,,expand:entertain,为什么,
03:37.6,03:38.6,16,,,,,Husband_H03_WH,我为什么不关心她,Wǒ wèishéme bù guānxīn tā.,Why I don't care for her.,hostess,IVoE,,,,,,,,,antagonist,-ve,judgement,invoke,directive,,问她,,,expand:entertain,为什么,
03:39.9,03:41.7,17,,I,S,Wife_H03_AW,Wife_H03_AW,那为什么你说喽那就,Nà wèishéme nǐ shuō gē nà jiù.,Then you tell why.. then.,antagonist,IVoE,问她自己,IVoE,你说,challenge the interpretation,challenge,IVoE,Yes,VoE; IVoE; ExAss,antagonist,-ve,judgement,invoke,directive,,你说,,,contract:proclaim,就,
03:41.7,03:43.1,18,,I,S,Husband_H03_WH,Husband_H03_WH,她脾气不好,Tā píqì bù hǎo.,She has a bad temper.,hostess,ExAss,你说,VoE,脾气不好,reorient to an interpretation of the VE /attitudinalize the VE,reorient,ExAss,Yes,VoE; IVoE; ExAss,antagonist,-ve,judgement,inscribe,,,脾气不好,,,monoglossic,,
03:41.9,03:43.3,19,O,I,S,Hostess_H03,Hostess_H03,这个怎么造成的,Zhège zěnme zàochéng de,Why is that,husband,,,,,,,,,,,,,,,,,,,,,
03:43.3,03:45.2,20,,I,S,Husband_H03_WH,Husband_H03_WH,容..眼里容不得一点沙子,Róng.. yǎn lǐ róng bùdé yīdiǎn shāzi,Bear having.. (she) can't bear having grit in her eye,hostess,ExAss,,,,,,,,,antagonist,-ve,judgement,inscribe,,,眼里不容沙子,up:isolated,,monoglossic,,
03:45.2,03:48.7,20,,,,,Husband_H03_WH,不够体谅包容,Bùgòu tǐliàng bāoróng.,(She is) not understanding and tolerant enough.,hostess,ExAss,,,,,,,,,antagonist,-ve,judgement,inscribe,,,不包容,down:isolated,不够,monoglossic,,
04:08.7,04:11.8,21,,,,Wife_H03_AW,Wife_H03_AW,他说一个男人只对你一个女人产生..什么,Tā shuō yīgè nánrén zhǐ duì nǐ yīgè nǚrén chǎnshēng.. shénme,He said that a man only has for you.. one woman.. something,hostess,VoE,脾气不好,ExAss,他说,reorient to a VE,reorient,VoE,Yes,VoE; IVoE; ExAss,antagonist,-ve,judgement,invoke,quotation:other,,他说,,,monoglossic,,
04:11.8,04:13.0,21,,,,,Wife_H03_AW,这是你自己说的不哦,zhè shì nǐ zìjǐ shuō de bù ó, isn't this what you said ,antagonist,,,,,,,,,,antagonist,-ve,judgement,invoke,rhetorical question,,不哦,,,contract:proclaim,你自己说,对不对
04:13.0,04:13.4,21,O,,,,Wife_H03_AW,对不对,Duì bùduì,Isn’t it,antagonist,,,,,,,,,,,,,,,,,,,,,
04:13.0,04:13.9,22,O,I,S,Husband_H03_WH,Husband_H03_WH,我跟她是这样说,Wǒ gēn tā shì zhèyàng shuō.,I said this to her.,hostess,VoE,他说,VoE,对女人好,replace with an alternative VE,replace,VoE,No,VoE,self,+ve,judgement,invoke,quotation:self,,我说,,,contract:proclaim,是这样,
04:13.9,04:15.7,22,,,,,Husband_H03_WH,我对全世界所有的女人都好,Wǒ duì quán shìjiè suǒyǒu de nǚrén dōu hǎo.,I am nice to all women in the world.,hostess,,,,,,,,,,self,+ve,judgement,inscribe,,,好,up:isolated,,monoglossic,,
04:15.3,04:15.7,23,O,I,,Wife_H03_AW,Wife_H03_AW,啊,A,Ah,antagonist,,,,,,,,,,,,,,,,,,,,,
04:15.7,04:18.7,24,,,,Husband_H03_WH,Husband_H03_WH,因为女人在这个来到这个世界太辛苦了,Yīnwèi nǚrén zài zhège lái dào zhège shìjiè tài xīnkǔle.,because women have in this.. endured a lot of hardship in this world,hostess,CulNorm,,,,,,,,,woman (generic),+ve,judgement,inscribe,,,辛苦,up:isolated,,contract:proclaim:justify,因为,
04:18.7,04:19.7,24,,,,,Husband_H03_WH,确实我,Quèshí wǒ,Really I…,hostess,,,,,,,,,,,,,,,,,,,,,
04:19.7,04:20.9,25,,I,S,Wife_H03_AW,Wife_H03_AW,那我不辛苦,nà wǒ bù xīnkǔ,Then is it that I didn't endure hardship,antagonist,ExAss,女人辛苦,CulNorm,我也辛苦,ridicule the tabling of the cultural norm,challenge,CulNorm,Yes,VoE; CulNorm,self,+ve,judgement,invoke,rhetorical question,,辛苦,,,contract:proclaim,不辛苦,
04:20.9,04:21.8,26,,,,Husband_H03_WH,Husband_H03_WH,你是辛苦,Nǐ shì xīnkǔ.,You endured hardship,antagonist,ExAss,,,,,,,,,antagonist,+ve,judgement,inscribe,,,辛苦,,,contract:proclaim,是,
04:21.8,04:23.3,26,,,,,Husband_H03_WH,那我为什么对你不好喽,Nà wǒ wèishéme duì nǐ bù hǎo gē,Then why am I not good to you,antagonist,ExAss,对我不好,VoE,为什么对你不好,reorient to an interpretation of the VE /attitudinalize the VE,reorient,ExAss,Yes,VoE; ExAss,antagonist,-ve,judgement,invoke,rhetorical question,,不好,,,expand:entertain,为什么,
04:23.3,04:23.7,27,,I,S,Wife_H03_AW,Wife_H03_AW,你说喽,Nǐ shuō gē,You tell the reason,antagonist,IVoE,为什么对你不好,IVoE,你说,reject or question the interpretation,challenge,IVoE,Yes,IVoE; ExAss,antagonist,-ve,judgement,invoke,directive,,你说,,,monoglossic,,
04:23.7,04:24.9,28,O,I,S,Husband_H03_WH,Husband_H03_WH,你要找出这个原因,Nǐ yào zhǎo chū zhège yuányīn.,You have to find out why.,antagonist,IVoE,你说,IVoE,你找原因,reject or question the interpretation,challenge,IVoE,Yes,IVoE; ExAss,antagonist,-ve,judgement,invoke,directive,,你找,,,contract:proclaim,要,
04:23.7,04:24.3,29,O,I,,Hostess_H03,Hostess_H03,来来来,Lái lái lái.,Ok ok ok.,couple,,,,,,,,,,,,,,,,,,,,,
04:24.9,04:43.8,29,,,,Voiceover,Voiceover,,,,,,,,,,,,,,,,,,,,,,,,,
04:43.8,04:48.4,30,,,,Wife_H03_AW,Wife_H03_AW,92年..就我们隔壁的一个女的那个女的在小溪旁边洗衣服,92 Nián.. jiù wǒmen gébì de yīgè nǚ de. Nàgè nǚ de zài xiǎo xī pángbiān xǐ yīfú.,In 1992.. a woman living next door to us the woman washed her clothes by the creek,hostess,VoE,,,,,,,,,,,,,,,,,,,,
04:48.4,04:51.6,30,,,,,Wife_H03_AW,他就拿个钓鱼竿..每天都这样子,Tā jiù ná gè diàoyú gān.. měitiān dū zhèyàng zi.,He would just take a fishing rod (standing by the creek).. like this every day,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,up-scaling,,每天,,,contract:disclaim:counter,都,
04:51.6,04:57.5,30,,,,,Wife_H03_AW,然后差不多两年的时间都是保持那个很亲密的关系嘛,Ránhòu chàbùduō liǎng nián de shíjiān dōu shì bǎochí nàgè hěn qīnmì de guānxì ma.,Then they kept a kind of very close relationship for about two years,hostess,IVoE,,,,,,,,,antagonist,-ve,judgement,inscribe,,,亲密,up:isolated,,contract:proclaim,都,
04:57.5,05:02.6,31,,I,S,Hostess_H03,Hostess_H03,有没有什么确凿一点的事情能够说明他们确实有不正常的关系,Yǒu méiyǒu shé me quèzuò yīdiǎn de shìqíng nénggòu shuōmíng tāmen quèshí yǒu bù zhèngcháng de guānxì,Is there any concrete evidence proving that they did have an abnormal relationship,wife,ExAss,,,,,,,,,,,,,,,,,,expand:entertain,,
05:02.6,05:06.3,32,,,,Wife_H03_AW,Wife_H03_AW,她经常就是在我们门口过..路过,Tā jīngcháng jiùshì zài wǒmen ménkǒuguò.. lùguò.,She just often passed by in front of our doorsteps.. passing by,hostess,VoE,,,,,,,,,,,,,,,,,,,,
05:06.3,05:08.0,32,,,,,Wife_H03_AW,她到那个方向去他就跟,Tā dào nàgè fāngxiàng qù tā jiù gēn.,When she went in that direction he would quickly follow,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,跟,up:isolated,经常,monoglossic,,
05:08.0,05:09.5,32,,,,,Wife_H03_AW,一会儿就跟她一起走了,Yīhuǐ'er jiù gēn tā yīqǐ zǒule.,Very soon he just went away with her,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,跟,up:isolated,一会,monoglossic,,
05:09.5,05:10.5,32,,,,,Wife_H03_AW,你问他,Nǐ wèn tā.,You ask him,hostess,VoE,,,,,,,,,self,+ve,judgement,invoke,directive,,问他,,,monoglossic,,
05:10.5,05:12.9,33,,I,S,Husband_H03_WH,Husband_H03_WH,正常的就是她住在我家旁边嘛,Zhèngcháng de. Jiùshì tā zhù zài wǒjiā pángbiān ma.,It's normal..It is just that she lived next to my house,hostess,ExAss,亲密关系,IVoE,正常,reorient to an explicit assessment,reorient,ExAss,Yes,VoE; IVoE; ExAss,self,+ve,judgement,inscribe,,,正常,,,contract:proclaim,嘛,嘛
05:12.9,05:14.3,33,,,,,Husband_H03_WH,偶尔上碰上了,Ǒu'ěr shàng pèng shàngle.,Occasionally I ran into her,hostess,VoE,每天,VoE,偶尔,replace with an alternative VE,replace,VoE,Yes,VoE; IVoE; ExAss,self,+ve,judgement,invoke,evoke,,碰上,down:isolated,偶尔,monoglossic,,
05:14.3,05:18.5,33,,,,,Husband_H03_WH,像那个江边啊洗衣服钓鱼啊..那都是就是平常一样的,Xiàng nàgè jiāng biān a xǐ yīfú diàoyú a.. nà dōu shì jiùshì píngcháng yīyàng de.,Things like by the riverside washing clothes and fishing.. it is all it's just normal,hostess,ExAss,江边,VoE,正常,reorient to an interpretation of the VE /attitudinalize the VE,reorient,ExAss,Yes,VoE; IVoE; ExAss,self,+ve,judgement,inscribe,,,平常,up:isolated,,contract:proclaim,,
05:18.5,05:20.1,33,,,,,Husband_H03_WH,就是碰上了..就是没有什么事情,Jiùshì pèng shàngle jiùshì méiyǒu shé me shìqíng.,Just ran into each other..Just there was nothing,hostess,IVoE,碰上,VoE,没有事,reorient to an interpretation of the VE /attitudinalize the VE,reorient,IVoE,Yes,VoE; IVoE; ExAss,self,+ve,judgement,invoke,denial,,没事,down:infused,什么,contract:proclaim,,
05:20.1,05:21.0,33,,,,,Husband_H03_WH,就青天白日的,Jiù qīngtiānbáirì de.,Just it’s in broad daylight,hostess,VoE,亲密关系,ExAss,青天白日,reorient to a VE,reorient,VoE,Yes,VoE; IVoE; ExAss,self,+ve,judgement,inscribe,,,青天白日,up:infused,,contract:proclaim,,
05:21.0,05:21.9,33,,,,,Husband_H03_WH,那有什么关系的,Nà yǒu shé me guānxì de.,Is there anything serious,hostess,IVoE,江边,VoE,没有事,reorient to an interpretation of the VE /attitudinalize the VE,reorient,IVoE,Yes,VoE; IVoE; ExAss,self,+ve,judgement,invoke,rhetorical question,,什么,,,contract:proclaim,,
05:21.9,05:22.8,33,,,,,Husband_H03_WH,又不是我一个人,Yòu bùshì wǒ yīgèrén.,It's not me (there) alone,hostess,IVoE,江边,VoE,不是一个人,reorient to an interpretation of the VE /attitudinalize the VE,reorient,IVoE,Yes,VoE; IVoE; ExAss,self,+ve,judgement,invoke,denial,,不是一个人,up:isolated,又,contract:disclaim:counter,又,
05:23.6,05:25.7,34,,I,S,Wife_H03_AW,Wife_H03_AW,他自己家里不呆就到她家去,Tā zìjǐ jiālǐ bù dāi jiù dào tā jiā qù.,He didn't stay in his own home but only went to her home,hostess,VoE,没有事,VoE,去她家,replace with an alternative VE,replace,VoE,Yes,VoE; IVoE; ExAss,antagonist,-ve,judgement,invoke,contrast,,,,,contract:disclaim:counter,,
05:25.7,05:28.6,34,,,,,Wife_H03_AW,怀我女儿那年..我大着个肚子在在家里,Huái wǒ nǚ'ér nà nián.. wǒ dàzhe gè dùzi zài zài jiālǐ.,That year when I was expecting my daughter..I stayed at home with a big tummy,hostess,VoE,,,,,,,,,,,,,,,,,,,,
05:28.6,05:29.9,34,,,,,Wife_H03_AW,他到她家去玩,Tā dào tā jiā qù wán.,He went to her house to play.,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,,,,monoglossic,,
05:29.9,05:31.0,34,,,,,Wife_H03_AW,看电视,Kàn diànshì.,To watch TV.,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,,,,monoglossic,,
05:31.0,05:31.9,34,,,,,Wife_H03_AW,你叫也叫不回来,Nǐ jiào yě jiào bù huílái.,Even if you called him he wouldn't come back,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,denial,,不回来,up:isolated,叫也,contract:disclaim:counter,（连）……也,
05:31.9,05:36.3,34,,,,,Wife_H03_AW,经常就是两个人有说有笑的在一起,Jīngcháng jiùshì liǎng gè rén yǒu shuō yǒu xiào de zài yīqǐ.,You can always see those two talking and laughing together,hostess,,没有事,VoE,经常,replace with an alternative VE,replace,VoE,Yes,VoE; IVoE; ExAss,antagonist,-ve,judgement,invoke,evoke,,在一起,up:isolated,经常,contract:proclaim,,
05:36.8,05:38.0,35,,I,S,Hostess_H03,Hostess_H03,他对你呢..那个时候,Tā duì nǐ ne.. nàgè shíhòu,How was he to you.. at that time,wife,ExAss,,,,,,,,,,,,,,,,,,,,
05:38.0,05:39.2,36,,,,Wife_H03_AW,Wife_H03_AW,他对我很平淡,Tā duì wǒ hěn píngdàn.,He was very cold to me,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,inscribe,,,,up:isolated,,monoglossic,,
05:39.2,05:41.7,36,,,,,Wife_H03_AW,我吃饭都不能..几天都不能吃饭,Wǒ chīfàn dōu bùnéng.. jǐ tiān dū bùnéng chīfàn.,I couldn't even eat. for several days I couldn't even eat,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,气得,up:isolated,几天不吃饭,contract:disclaim,,
05:41.7,05:44.2,36,,,,,Wife_H03_AW,我打..打那个那个救命针呢还给我,Wǒ dǎ.. dǎ nàgè nàgè jiùmìng zhēn ne hái gěi wǒ.,I had.. I had the life-saving injection. They gave me.,hostess,IVoE,,,,,,,,,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,气得,up:infused,打救命针,monoglossic,,
05:44.2,05:45.6,36,,,,,Wife_H03_AW,我差点死了,Wǒ chàdiǎn sǐle.,I almost died.,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,气得,up:infused,差点死,monoglossic,,
05:45.6,05:46.4,37,,I,S,Hostess_H03,Hostess_H03,为什么,Wèishéme,Why,wife,,,,,,,,,,,,,,,,,,,,,
05:46.4,05:47.7,38,,,,Wife_H03_AW,Wife_H03_AW,我气成那样啊,Wǒ qì chéng nàyàng a,Because I was so angry,hostess,ExAss,,,,,,,,,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,气得,up:isolated,气成那样,contract:proclaim,,
05:47.7,05:48.5,38,,,,,Wife_H03_AW,他不给我解释,Tā bù gěi wǒ jiěshì.,He did not explain it to me.,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,denial,,,,,monoglossic,,
05:48.5,05:50.2,38,,,,,Wife_H03_AW,我跟他说的时候..他就跑,Wǒ gēn tā shuō de shíhòu.. tā jiù pǎo.,Whenever I talked to him.. he ran.,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,contrast,,我说/他跑,up:isolated,whenever,contract:disclaim,,
05:50.2,05:51.7,38,,,,,Wife_H03_AW,跑..一天不着家的,Pǎo.. yītiān bùzháo jiā de.,He ran away.. without coming back home for a whole day.,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,denial,,不着家,up:isolated,一天,monoglossic,就,
05:51.7,05:52.8,38,,,,,Wife_H03_AW,不着家..不管你,Bùzháo jiā.. bùguǎn nǐ.,He didn't stay at home. He didn't care about you.,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,denial,,不管,,,monoglossic,,
05:52.8,05:57.6,38,,,,,Wife_H03_AW,我从一个女孩子120斤嫁到他家去..一下子瘦成88斤,Wǒ cóng yīgè nǚ háizi 120 jīn jià dào tā jiā qù.. yīxià zi shòu chéng 88 jīn.,I was a girl of 60 kgs when I married him.. I suddenly lost my weight to 44 kgs,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,气得,up:infused,瘦80斤,monoglossic,,
05:58.8,06:00.5,39,,I,S,Husband_H03_WH,Husband_H03_WH,我就跟她见了几次面,Wǒ jiù gēn tā jiànle jǐ cì miàn.,I only met her for a few times.,hostess,,经常,VoE,见了几次,replace with an alternative VE,replace,VoE,Yes,VoE; IVoE; ExAss,self,+ve,judgement,invoke,up-scaling,,几次,,,contract:disclaim:counter,,
06:00.5,06:01.9,39,,,,,Husband_H03_WH,没有走得很近,Méiyǒu zǒu dé hěn jìn.,I didn't have a very close relationship with her..,hostess,,去她家,VoE,没有很近,reject the VE,challenge,VoE,Yes,VoE; IVoE; ExAss,self,+ve,judgement,invoke,denial,,没有,down:isolated,很近,monoglossic,,
06:01.9,06:02.9,39,,,,,Husband_H03_WH,正常的,Zhèngcháng de.,It's normal.,hostess,,去她家,VoE,正常,reorient to an interpretation of the VE /attitudinalize the VE,reorient,ExAss,Yes,VoE; IVoE; ExAss,self,+ve,judgement,inscribe,,,,,,monoglossic,,
06:02.9,06:04.4,39,,,,,Husband_H03_WH,哪里有那么严重呢,Nǎ li yǒu nàme yánzhòng ne,How come is it so serious,hostess,,去她家,VoE,不严重,reorient to an interpretation of the VE /attitudinalize the VE,reorient,IVoE,Yes,VoE; IVoE; ExAss,self,+ve,judgement,invoke,rhetorical question,,,,,contract:proclaim,,
06:04.4,06:06.7,40,,I,S,Hostess_H03,Hostess_H03,王女士说她气得生病了,Wáng nǚshì shuō tā qì dé shēngbìngle.,Ms. Wang said that she was so angry that she was sick.,husband,,,,,,,,,,,,,,,,,,,,,
