begin time,end time,turn,Overlap,Interruption,Successful interruption,turn.holder,speaker,Chinese,Pinyin,English,addressee,arguable.move,issue at stake,substance,whats offered,strategy.detail,strategy,strategy.meaning,option,option.details,target.detail,valence,attitude,explicitness,invocation.signal,trigger,attitude.realisation,graduation.detail,graduation.realisation,engagement.detail,engage.realisation,particle
03:06.6,03:08.8,14,,,,,Wife_W03_WW,十六年当中的对错,shíliù nián dāngzhōng de duì cuò ,Right or wrong (for what happened) in the past 16 years,hostess,,,,,,,,,,self,+ve,judgement,invoke,irrealis Affect,,想,up:isolated,十六年,monoglossic,,
03:08.9,03:11.8,15,O,,,Hostess_W03,Hostess_W03,都已经离婚了为什么还要来论这个[对错],dōu yǐjīng líhūnle wèishéme hái yào lái lùn zhège [duì cuò] ,You have already divorced why bother to talk about this [right or wrong],wife,,,,,,,,,,,,,,,,,,,,,
03:11.6,03:17.1,16,O,I,S,Wife_W03_WW,Wife_W03_WW,[他一直]认为婚姻走到这个阶段..就是因为我...我跟别人聊天造成的,[tā yīzhí] rènwéi hūnyīn zǒu dào zhège jiēduàn.. Jiùshì yīnwèi wǒ... Wǒ gēn biérén liáotiān zàochéng de ,[He always] thinks that the marriage has come to this stage.. just because of me... Because I chatted with others,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,quotation:other,,认为,up:isolated,一直,contract:proclaim,一直,
03:17.1,03:18.8,17,,,,Hostess_W03,Hostess_W03,在你心里有别的原因是吗,zài nǐ xīn li yǒu bié de yuányīn shì ma ,In your heart there is another reason is it,wife,,,,,,,,,,,,,,,,,,,,,
03:18.8,03:19.6,18,,,,Wife_W03_WW,Wife_W03_WW,对啊,duì a,Correct,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,affirmation,,,,,contract:proclaim,啊,
03:19.7,03:22.1,19,,,,Hostess_W03,Hostess_W03,那对他今天的这个..复婚的,Nà duì tā jīntiān de zhège.. Fùhūn de ,Then how about his proposal today.. to remarry,wife,,,,,,,,,,,,,,,,,,,,,
03:22.1,03:23.6,20,,,,Wife_W03_WW,Wife_W03_WW,先看吧,xiān kàn ba ,Let me observe first,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,,,,expand:entertain,,吧
03:23.6,03:26.9,20,,,,,Wife_W03_WW,我觉得我在这个..十六年当中..我受的委屈..太多了,wǒ juédé wǒ zài zhège.. Shíliù nián dāngzhōng.. Wǒ shòu de wěiqu.. Tài duōle ,I think I'm in this..16 years..I have suffered too many.. grievances,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,委屈,up:isolated,太多了,expand:entertain,觉得,
03:28.4,03:30.5,21,,,,Husband_W03_AH,Husband_W03_AH,我觉得..事情既然发生了,wǒ juédé.. Shìqíng jìrán fāshēngle ,I think.. Now that it happened,hostess,,,,,,,,,,,,,,,,,,,,,
03:30.5,03:33.7,21,,,,,Husband_W03_AH,为了家庭的话..什么都可以不再纠结,wèile jiātíng dehuà.. Shénme dōu kěyǐ bù zài jiūjié ,For the sake of the family.. I can stop fixating on everything (she did),hostess,,,,,,,,,,self,+ve,judgement,inscribe,,,不纠结,up:isolated,什么都可以,expand:entertain,觉得,
03:33.7,03:35.0,22,,,,Hostess_W03,Hostess_W03,你追究过吗,nǐ zhuījiùguò ma ,Have you tried to hold someone accountable in the past,husband,,,,,,,,,,,,,,,,,,,,,
03:35.0,03:37.0,23,,,,Husband_W03_AH,Husband_W03_AH,以前有追究过,yǐqián yǒu zhuījiùguò,I tried to hold someone accountable in the past,hostess,,,,,,,,,,self,-ve,judgement,invoke,evoke,,追究,,,monoglossic,,
03:38.1,04:16.9,23,,,,Voiceover,Voiceover,,,,,,,,,,,,,,,,,,,,,,,,,
04:17.3,04:21.4,24,,,,Husband_W03_AH,Husband_W03_AH,二月初一过生日我是提前到她那个做生意的那个地方去,Èr yuèchū yīguò shēngrì wǒ shì tíqián dào tā nàgè zuò shēngyì dì nàgè dìfāng qù ,When she had her birthday on the first day of the second lunar month in early February I went to her place where she did business in advance,hostess,,,,,,,,,,self,+ve,judgement,invoke,up-scaling,,提前,,,contract:proclaim,是,
04:21.4,04:22.3,24,,,,,Husband_W03_AH,陪她过生日,péi tāguò shēngrì ,I went to stay with her to celebrate her birthday,hostess,,,,,,,,,,self,+ve,judgement,invoke,evoke,,,,,monoglossic,,
04:22.3,04:25.1,24,,,,,Husband_W03_AH,过生日的第二天...对方打电话来,guò shēng rì de dì èr tiān... Duìfāng dǎ diànhuà lái ,The day after birthday... the other party called,hostess,,,,,,,,,,,,,,,,,,,,,
04:25.1,04:26.6,24,,,,,Husband_W03_AH,她就拒绝,tā jiù jùjué ,She refused to answer,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,counter-expectancy,,就,,,contract:disclaim,就,
04:26.6,04:28.5,24,,,,,Husband_W03_AH,当时问她..为什么不接,dāngshí wèn tā.. Wèishéme bù jiē ,I asked her at the time.. why didn't you answer,hostess,,,,,,,,,,,,,,,,,,,,,
04:28.5,04:30.4,24,,,,,Husband_W03_AH,她就..什么也没给你解释,tā jiù.. Shénme yě méi gěi nǐ jiěshì ,She just..she didn't give me any explanation,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,denial,,没,up:isolated,什么,contract:disclaim,就,
04:30.4,04:33.1,24,,,,,Husband_W03_AH,找个借口..去其它地方..去做什么,zhǎo gè jièkǒu.. Qù qítā dìfāng.. Qù zuò shénme ,Later she found an excuse.. saying she need to go elsewhere.. to do whatsoever,hostess,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,找借口,,,monoglossic,,
04:33.1,04:34.1,24,,,,,Husband_W03_AH,去联系他了,qù liánxì tāle,She went to contact him,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,,,,monoglossic,,
04:34.1,04:35.0,25,,,,Hostess_W03,Hostess_W03,你怎么知道,Nǐ zěnme zhīdào ,How did you know,husband,,,,,,,,,,,,,,,,,,,,,
04:35.2,04:37.1,26,,,,Husband_W03_AH,Husband_W03_AH,我的猜测没错啊..你问她吧,wǒ de cāicè méi cuò a.. Nǐ wèn tā ba ,My guess was correct.. You can ask her,hostess,,,,,,,,,,self,+ve,judgement,inscribe,,,没错,,,contract:proclaim,啊,
04:37.6,04:38.8,27,,,,Hostess_W03,Hostess_W03,你知道那是谁吗,nǐ zhīdào nà shì shéi ma ,Do you know who it was,husband,,,,,,,,,,,,,,,,,,,,,
04:38.8,04:41.8,28,,,,Husband_W03_AH,Husband_W03_AH,她后来跟我透露..好像就是说..她的..初恋嘛,tā hòulái gēn wǒ tòulù.. Hǎoxiàng jiùshì shuō.. Tā de.. Chūliàn ma ,She later revealed to me..she seemed to be saying..it's her..first love,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,quotation:other,,透露,,,expand:entertain,好像,
04:41.8,04:46.6,28,,,,,Husband_W03_AH,直到..晚上的时候..我就在她手机看到了聊天的截图,zhídào.. Wǎnshàng de shíhòu.. Wǒ jiù zài tā shǒujī kàn dàole liáotiān de jiétú,Until..at night..I saw a screenshot of the chat on her phone,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,,,,monoglossic,,
04:46.6,04:48.3,28,,,,,Husband_W03_AH,她..跟..对方的聊天都有截图,tā.. Gēn.. Duìfāng de liáotiān dū yǒu jiétú ,There are screenshots of her.. chat with that guy,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,,,,contract:proclaim,都,
04:48.3,04:49.1,28,,,,,Husband_W03_AH,自己截的,zìjǐ jié de,She screenshots them by herself,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,,,,,,
04:49.2,04:51.4,29,O,,,Hostess_W03,Hostess_W03,是她给你看的还是你[强行]要求,Shì tā gěi nǐ kàn de háishì nǐ [qiángxíng] yāoqiú ,Did she show it to you or you [forcefully] demand,husband,VoE,,,,,,,,,,,,,,,,,,,,
04:50.7,04:51.0,30,O,I,,Husband_W03_AH,Husband_W03_AH,[我],[wǒ] ,[I],hostess,,,,,,,,,,,,,,,,,,,,,
04:51.5,04:52.8,31,O,,,,Husband_W03_AH,我..要[求的],wǒ.. Yào [qiú de] ,I.. want [requested],hostess,VoE,,,,,,,,,,,,,,,,,,,,
04:52.3,04:54.0,32,O,I,S,Wife_W03_WW,Wife_W03_WW,[他抢了]我的手机,[tā qiǎngle] wǒ de shǒujī ,[He forcefully grabbed] my phone,hostess,VoE,要求的,VoE,抢,replace with an alternative VE,replace,VoE,No,VoE,antagonist,-ve,judgement,inscribe,,,抢,,,monoglossic,,
04:54.0,04:57.1,32,,,,,Wife_W03_WW,差点把我的手都要..要揪断了,chàdiǎn bǎ wǒ de shǒu dōu yào.. Yào jiū duànle ,He almost broken.. my hands,hostess,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,揪,up:infused,差点,contract:proclaim,都,
04:57.4,04:59.8,33,,,,Husband_W03_AH,Husband_W03_AH,那天回去好像..我是不高兴嘛,nèitiān huíqù hǎoxiàng.. Wǒ shì bù gāoxìng ma,When I went back that day it seemed that.. I was not happy,hostess,VoE,抢,VoE,不高兴,reorient to an interpretation /attitudinalize the VE,reorient,VoE,No,VoE,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,,,,expand:entertain,好像,
04:59.9,05:01.1,34,,,,Wife_W03_WW,Wife_W03_WW,看到了什么,kàn dàole shénme,What did you see,antagonist,,不高兴,IVoE,看到什么,reject or question the interpretation,challenge,IVoE,No,ExAss,antagonist,-ve,judgement,invoke,rhetorical question,,,,,contract:proclaim,,
05:01.3,05:03.5,35,,,,Husband_W03_AH,Husband_W03_AH,她跟别人聊天的一个什么东西,Tā gēn biérén liáotiān de yīgè shénme dōngxī ,Something about her chatting with others,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,跟别人聊天,down:isolated,什么东西,,,
05:03.5,05:05.8,35,,,,,Husband_W03_AH,因为有..这么久的时间我..可能记不清了,yīnwèi yǒu.. Zhème jiǔ de shíjiān wǒ.. Kěnéng jì bù qīngle ,Because it has been..for so long I..may not remember clearly,hostess,,,,,,,,,,self,+ve,judgement,invoke,evoke,,,,,expand:entertain,可能,
05:05.8,05:07.6,35,O,,,,Husband_W03_AH,因为[感觉],yīnwèi [gǎnjué] ,Because [I feel],hostess,,,,,,,,,,,,,,,,,,,,,
05:06.9,05:10.9,36,O,I,S,Hostess_W03,Hostess_W03,[我可以]简单地理解为聊天内容没有什么过分的地方吗,[wǒ kěyǐ] jiǎndān dì lǐjiě wèi liáotiān nèiróng méiyǒu shé me guòfèn dì dìfāng ma ,[Can I] simply understand that there is nothing excessive about the content of the chat,husband,,,,,,,,,,,,,,,,,,,,,
05:10.9,05:12.8,36,,,,,Hostess_W03,或者没有引起你不适,huòzhě méiyǒu yǐnqǐ nǐ bùshì ,Or there was nothing that caused you discomfort,husband,,,,,,,,,,,,,,,,,,,,,
05:12.8,05:19.8,36,O,,,,Hostess_W03,[所以]当时对于你来说更不能接受的是..这个聊天对象是她的...所谓的初恋..是吗,[suǒyǐ] dāngshí duìyú nǐ lái shuō gèng bùnéng jiēshòu de shì.. Zhège liáotiān duìxiàng shì tā de... Suǒwèi de chūliàn.. Shì ma ,[So] at that time what was even more unacceptable to you..  was that this chat partner was her... the so-called first love... Is that true,husband,,,,,,,,,,,,,,,,,,,,,
05:14.1,05:14.4,37,O,,,Husband_W03_AH,Husband_W03_AH,[嗯],[ń] ,[Hmm],hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,affirmation,,,,,monoglossic,,
05:20.1,05:21.6,37,,,,,Husband_W03_AH,肯定是介意啊,kěndìng shì jièyì a,Of course I mind,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,介意,,,contract:proclaim,肯定,
05:22.1,05:27.3,38,,,,Hostess_W03,Hostess_W03,你当时为什么不跟他解释一下或者说...干脆就当着他的面接这个电话,Nǐ dāngshí wèishéme bù gēn tā jiěshì yīxià huòzhě shuō... Gāncuì jiù dāngzhe tā de miànjiē zhège diànhuà,Why didn’t you explain to him or say... just answer the call in front of him,wife,,,,,,,,,,,,,,,,,,,,,
05:27.3,05:29.8,39,,,,Wife_W03_WW,Wife_W03_WW,因为我..知道他这个人..心眼小啊,Yīnwèi wǒ.. Zhīdào tā zhège rén.. Xīnyǎn xiǎo a,Because I...know he is..oversuspicious,hostess,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,心眼小,,,contract:proclaim,知道,
05:29.8,05:34.9,39,,,,,Wife_W03_WW,后面把...把那些截图啊那个男的照片全部都发到我的朋友圈,Hòumiàn bǎ... Bǎ nàxiē jiétú a nàgè nán de zhàopiàn quánbù dōu fā dào wǒ de péngyǒu quān ,Later he... sent all those screenshots and photos of that man to my WeChat moments,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,发朋友圈,up:isolated,全部,contract:proclaim,都,
05:34.9,05:39.0,39,,,,,Wife_W03_WW,中学同学群小学同学群..我那个娘家那个群里,zhōngxué tóngxué qún xiǎoxué tóngxué qún.. Wǒ nàgè niángjiā nàgè qún lǐ ,To my middle school classmate WeChat group elementary school classmate group.. To the group of my natal family,hostess,,,,,,,,,,,,,,,,,,,,,
05:39.0,05:41.2,39,,,,,Wife_W03_WW,娘家群里都有两百多号人,niángjiā qún lǐ dōu yǒu liǎng bǎi duō hào rén ,There are more than 200 people in the natal family group,hostess,,,,,,,,,,,,,,,,,,,,,
05:41.2,05:43.1,39,,,,,Wife_W03_WW,他全部都给我发了,tā quánbù dōu gěi wǒ fāle,He sent (the screenshots and photos) to all the groups,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,up-scaling,,全部,,,contract:proclaim,都,
05:43.2,05:44.2,40,,,,Hostess_W03,Hostess_W03,干嘛呢,Gàn ma ne ,Why did you do this,husband,,,,,,,,,,,,,,,,,,,,,
05:44.2,05:46.3,41,,,,Husband_W03_AH,Husband_W03_AH,我是找对方的..那个老婆,wǒ shì zhǎo duìfāng de.. Nàgè lǎopó ,I was looking for that man.. that man's wife,hostess,IVoE,,,,,,,,,self,+ve,judgement,invoke,proclaim,,,,,contract:proclaim,是,
05:47.0,05:49.5,42,,,,Wife_W03_WW,Wife_W03_WW,那你发到我娘家群里你能找到他吗,nà nǐ fā dào wǒ niángjiā qún lǐ nǐ néng zhǎodào tā ma ,Then can you find her by sending (the screenshots and photos) to my natal family group,antagonist,IVoE,找对方老婆,IVoE,能找到吗,reject or question the interpretation,challenge,IVoE,No,IVoE,antagonist,-ve,judgement,invoke,rhetorical question,,能……吗,,,contract:proclaim,能……吗,吗
05:49.6,05:50.5,43,,,,Husband_W03_AH,Husband_W03_AH,找到了啊,zhǎodàole a ,I found her,antagonist,VoE,能找到吗,IVoE,找到了,reorient to an alternative VE,reorient,VoE,No,IVoE,self,+ve,judgement,invoke,proclaim,,,,,contract:proclaim,啊,啊
05:50.5,05:52.3,43,O,,,,Husband_W03_AH,第二天不是..加你微信[了吗],dì èr tiān bùshì.. Jiā nǐ wēixìn [le ma] ,Isn't it that on the next day.. She added your WeChat [contact],antagonist,VoE,,,,,,,,,self,+ve,judgement,invoke,rhetorical question,,不是……吗,,,contract:proclaim,不是……吗,吗
05:52.2,05:53.6,44,O,I,S,Hostess_W03,Hostess_W03,[你这么]做的目的是[什么],[nǐ zhème] zuò de mùdì shì [shénme] ,[You did this] what was your [purpose],husband,,,,,,,,,,,,,,,,,,,,,
05:52.9,05:55.0,45,O,I,S,Wife_W03_WW,Wife_W03_WW,[你不]觉得你这个行为很过激吗,[nǐ bù] juédé nǐ zhège xíngwéi hěn guòjī ma,[Don’t you] think your behavior was extreme,antagonist,,发截图,VoE,过分,reorient to an interpretation /attitudinalize the VE,reorient,ExAss,No,VoE,antagonist,-ve,judgement,inscribe,,,过激,,,contract:proclaim,吗,吗
05:56.8,06:00.5,46,,,,Hostess_W03,Hostess_W03,找人也可以换一种方式..你要发这截图是干嘛呢,Zhǎo rén yě kěyǐ huàn yī zhǒng fāngshì.. Nǐ yào fā zhè jiétú shì gàn ma ne ,You can also find someone by other means.. Why did you post all these screenshots,husband,,,,,,,,,,,,,,,,,,,,,
06:00.5,06:02.8,47,,,,Husband_W03_AH,Husband_W03_AH,当时...不知道怎么想,dāngshí... Bù zhīdào zěnme xiǎng ,At that time.. I didn't know what was in my mind,hostess,IVoE,,,,,,,,,self,-ve,judgement,invoke,denial,,不,,,monoglossic,,
06:02.8,06:06.8,47,,,,,Husband_W03_AH,反正第二天了...那个他的老婆就..加...她的微信了,fǎnzhèng dì èr tiānle... Nàgè tā de lǎopó jiù.. Jiā... Tā de wéi xìn le ,Anyway the next day... that his wife.. added... her WeChat contact,hostess,VoE,,,,,,,,,self,+ve,judgement,invoke,proclaim,,反正,,,contract:proclaim,反正,
06:06.8,06:09.4,47,,,,,Husband_W03_AH,然后...然后我才..知道这些东西,ránhòu... Ránhòu wǒ cái.. Zhīdào zhèxiē dōngxī ,Then...then I...knew these things,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,counter-expectancy,,才,,,contract:disclaim,才,
06:09.4,06:15.9,48,O,,,Hostess_W03,Hostess_W03,你找到了对方的..妻子共同感受觉得他们这样的聊天对话是不正常的..是这个[意思吗],nǐ zhǎodàole duìfāng de.. Qīzi gòngtóng gǎnshòu juédé tāmen zhèyàng de liáotiān duìhuà shì bù zhèngcháng de.. Shì zhège [yìsi ma] ,You found the other man's.. the wife (and you) both felt that their conversations like this were abnormal.. is this what you mean,husband,,,,,,,,,,,,,,,,,,,,,
06:15.5,06:16.2,49,O,I,S,Husband_W03_AH,Husband_W03_AH,[对对对],[duì duì duì],[Yes yes yes],hostess,ExAss,,,,,,,,,antagonist,-ve,judgement,invoke,affirmation,,不正常,up:isolated,对对对,contract:proclaim,对对对,
06:16.3,06:18.5,50,,,,Wife_W03_WW,Wife_W03_WW,那只是他认为觉得不正常,Nà zhǐshì tā rènwéi juédé bù zhèngcháng ,It’s just that he thought it was abnormal,hostess,IVoE,不正常,IVoE,只是他觉得,reject or question the interpretation,challenge,IVoE,Yes,VoE; IVoE; ExAss,antagonist,-ve,judgement,invoke,quotation:other,,他认为,,,contract:proclaim,只是,
06:18.5,06:20.3,50,O,,,,Wife_W03_WW,那边的老婆还跟他在解释[啊],nà biān de lǎopó hái gēn tā zài jiěshì [a] ,The wife of that man was still explaining it to him [ah],hostess,VoE,不正常,IVoE,其他人解释,reorient with an alternative VE,reorient,VoE,Yes,VoE; IVoE; ExAss,antagonist,-ve,judgement,invoke,contrast,,,,,contract:proclaim,还,
06:20.2,06:20.7,51,O,I,S,Husband_W03_AH,Husband_W03_AH,[不是],[bùshì] ,[No],antagonist,IVoE,只是他觉得,IVoE,不是,reject or question the interpretation,challenge,IVoE,Yes,VoE; IVoE; ExAss,antagonist,-ve,judgement,invoke,denial,,不,,,monoglossic,,
06:21.6,06:24.1,52,O,,,Hostess_W03,Hostess_W03,对方[跟你]说了什么你只要简单说,duìfāng [gēn nǐ] shuōle shénme nǐ zhǐyào jiǎndān shuō ,What the other party [said] to you just say it briefly,husband,,,,,,,,,,,,,,,,,,,,,
06:21.8,06:22.4,53,O,I,,Husband_W03_AH,Husband_W03_AH,[因为],[yīnwèi] ,Because],hostess,,,,,,,,,,,,,,,,,,,,,
06:24.2,06:26.3,54,,,,Wife_W03_WW,Wife_W03_WW,她说你应该相信你的老婆,tā shuō nǐ yīnggāi xiāngxìn nǐ de lǎopó ,She said you should trust your wife,hostess,VoE,不是,IVoE,她说,reorient with an alternative VE,reorient,VoE,Yes,VoE; IVoE; ExAss,antagonist,-ve,judgement,invoke,directive,,应该,,,expand:attribute,她说,
06:27.1,06:27.8,55,,,,Husband_W03_AH,Husband_W03_AH,是这样吗,shì zhèyàng ma ,Is that right,antagonist,,她说,VoE,是这样吗,present the VE as questionable,challenge,VoE,Yes,VoE; IVoE,antagonist,-ve,judgement,invoke,rhetorical question,,吗,,,contract:proclaim,是……吗,吗
06:30.4,06:33.5,56,,,,Hostess_W03,Hostess_W03,这件事情有给你们造成什么影响吗,zhè jiàn shìqíng yǒu gěi nǐmen zàochéng shénme yǐngxiǎng ma ,Did this incident have any effect on you,hostess,,,,,,,,,,,,,,,,,,,,,
06:33.7,06:35.2,57,,,,Husband_W03_AH,Husband_W03_AH,肯定就是名誉的问题啊,kěndìng jiùshì míngyù de wèntí a ,Of course it was a matter of reputation,hostess,IVoE,,,,,,,,,antagonist,-ve,judgement,inscribe,,,影响,,,contract:proclaim,肯定,啊
06:35.2,06:36.2,57,O,,,,Husband_W03_AH,她的名[誉],tā de míng [yù],Her [reputation],hostess,VoE,,,,,,,,,antagonist,-ve,judgement,inscribe,,,影响,,,monoglossic,,
06:36.1,06:37.4,58,O,I,S,Hostess_W03,Hostess_W03,[你]在乎这个问题吗,[Nǐ] zàihū zhège wèntí ma ,[Do you] care about this problem,husband,,,,,,,,,,,,,,,,,,,,,
06:38.8,06:40.6,59,,,,Husband_W03_AH,Husband_W03_AH,我当时也没在乎,wǒ dāngshí yě méi zàihū ,I didn't care at the time,hostess,IVoE,,,,,,,,,self,-ve,judgement,invoke,denial,,没在乎,,,contract:disclaim,也,
06:41.2,06:43.9,60,,,,Wife_W03_WW,Wife_W03_WW,我觉得对我造成很大的伤害,wǒ juédé duì wǒ zàochéng hěn dà de shānghài ,I think it hurt me tremendously,hostess,,没在乎,IVoE,伤害,reorient to an explicit assessment,reorient,ExAss,Yes,VoE; IVoE,antagonist,-ve,judgement,inscribe,,,伤害,up:isolated,很大,expand:entertain,觉得,
06:44.6,06:46.1,61,,,,Hostess_W03,Hostess_W03,你怎么去面对这些,nǐ zěnme qù miàn duì zhèxiē ,How did you face these,wife,,,,,,,,,,,,,,,,,,,,,
06:46.6,06:50.6,62,,,,Wife_W03_WW,Wife_W03_WW,既然我没有什么你要那样发我就偏偏要...再跟他联系呗,jìrán wǒ méiyǒu shé me nǐ yào nàyàng fā wǒ jiù piānpiān yào... Zài gēn tā liánxì bei ,Since I didn’t do anything wrong but you sent out posts like that I just wanted to... contact that man again,hostess,,,,,,,,,,self,+ve,judgement,invoke,up-scaling,,偏偏,,,expand:entertain,自言自语,呗
06:51.4,06:54.0,63,,,,Hostess_W03,Hostess_W03,有了跟你..对着来的意思,yǒule gēn nǐ.. Duìzhe lái de yìsi ,You had the intension to..so everything the opposite,wife,,,,,,,,,,,,,,,,,,,,,
06:54.1,06:54.8,64,,,,Wife_W03_WW,Wife_W03_WW,嗯,ń,Hmm,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,affirmation,,对着来,,,monoglossic,,
