begin time,end time,turn,Overlap,Interruption,Successful interruption,turn.holder,speaker,Chinese,Pinyin,English,addressee,target.detail,valence,attitude,explicitness,invocation.signal,trigger,attitude.realisation,graduation.detail,graduation.realisation,engagement.detail,engage.realisation,particle
02:17.8,02:22.8,2,,,,,Wife_H01_AW,既然是夫妻..就应该全心全意坦诚面对,Jìrán shì fūqī.. jiù yīnggāi quánxīnquányì tǎnchéng miàn duì…,Since we are husband and wife.. we should treat each other faithfully and wholeheartedly,hostess,antagonist,-ve,judgement,invoke,directive,,应该,up:infused,全心全意,contract:proclaim,就,
02:22.8,02:26.8,2,,,,,Wife_H01_AW,他现在嘴上说他在乎夫妻感情,Tā xiànzài zuǐ shàng shuō tā zàihū fūqī gǎnqíng..,He only pays lip service when saying that he cares about the relationship,hostess,antagonist,-ve,judgement,inscribe,,,嘴上说,,,expand:attribute,嘴上说,
02:26.8,02:28.6,2,O,,,,Wife_H01_AW,他在乎他的家庭,tā zàihū tā de jiātíng..,He cares about his family,hostess,,,,,,,,,,,,
02:27.0,02:27.3,3,O,,,Hostess_H01,Hostess_H01,嗯,ń,Mhm,wife,,,,,,,,,,,,
02:28.6,02:31.9,4,,,,Wife_H01_AW,Wife_H01_AW,但是我从来没有感受到,dànshì wǒ cónglái méiyǒu gǎnshòu dào.,But I never felt it,hostess,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,没有感受到,up:isolated,从来,contract:disclaim,但是,
02:31.9,02:34.5,4,,,,,Wife_H01_AW,我希望他真心对待,Wǒ xīwàng tā zhēnxīn duìdài.,I hope he will treat me with sincerity,hostess,antagonist,-ve,judgement,invoke,irrealis Affect,,希望,,,expand:entertain,希望,
02:35.6,02:36.1,5,O,,,Husband_H01_WH,Husband_H01_WH,吁,Xū,Hhhh.,,,,,,,,,,,,,
02:36.1,02:37.4,6,O,,,Hostess_H01,Hostess_H01,郭先生,Guō xiānshēng.,Mr. Guo.,husband,,,,,,,,,,,,
02:37.4,02:40.4,7,,,,Husband_H01_WH,Husband_H01_WH,我的诉求就是希望改正她的心态吧,Wǒ de sùqiú jiùshì xīwàng gǎizhèng tā de xīntài ba.,My request is that I hope the mediation can correct her mentality.,hostess,antagonist,-ve,judgement,invoke,irrealis Affect,,希望,,,expand:entertain,诉求,吧
02:40.4,02:44.3,7,,,,,Husband_H01_WH,经过这个调解啊..让大家评判一下,Jīngguò zhège tiáojiě a.. ràng dàjiā píngpàn yīxià.,By this mediation.. I would like to let everyone comment on it.,hostess,,,,,,,,,,,,
02:44.3,02:46.7,7,,,,,Husband_H01_WH,到底是她的心态没摆正,Dàodǐ shì tā de xīntài méi bǎi zhèng..,Ultimately.. is it that her attitude is not correct.,hostess,antagonist,-ve,judgement,invoke,contrast,,是……还是,,,expand:entertain,大家评判,
02:46.7,02:50.5,7,,,,,Husband_H01_WH,还是我做的事是她所谓的表里不如一,háishì wǒ zuò de shì shì tā suǒwèi de biǎo lǐ bùrú yī.,Or what I did was her so-called duplicitous,hostess,antagonist,-ve,judgement,invoke,quotation:other,,所谓,,,expand:entertain,是……还是,
02:52.1,02:55.4,7,,,,,Husband_H01_WH,我是每天对这个家庭是添砖加瓦的..对吧,Wǒ shì měitiān duì zhège jiātíng shì tiānzhuānjiāwǎ de.. duì ba,I AM making a contribution to this family every day.. right,hostess,self,+ve,judgement,inscribe,,,添砖加瓦,up:isolated,添砖加瓦,expand:entertain,是……的,对吧
02:55.4,02:58.2,7,,,,,Husband_H01_WH,她却说我看不到,Tā quèshuō wǒ kàn bù dào,"But she says ""I can't see"".",hostess,antagonist,-ve,judgement,invoke,quotation:other,,说,,,contract:disclaim,却,
02:58.2,02:59.4,7,,,,,Husband_H01_WH,她生了病,Tā shēngle bìng..,Whenever she was sick..,hostess,,,,,,,,,,,,
02:59.4,03:02.2,7,,,,,Husband_H01_WH,都是我询问她很详细的,dōu shì wǒ xúnwèn tā hěn xiángxì de.,I was the one who asked her for her details.,hostess,self,+ve,judgement,invoke,quotation:self,,询问,up:isolated,很,contract:proclaim,都,
03:02.2,03:04.2,7,,,,,Husband_H01_WH,哪个地方不舒服,Nǎge dìfāng bú shūfú,What's wrong with you,hostess,self,+ve,judgement,invoke,quotation:self,,询问,,,monoglossic,,
03:04.2,03:05.6,7,,,,,Husband_H01_WH,吃什么药,Chī shénme yào,What medicine to take,hostess,self,+ve,judgement,invoke,quotation:self,,询问,,,monoglossic,,
03:05.6,03:07.8,7,,,,,Husband_H01_WH,都是我去买,Dōu shì wǒ qù mǎi.,I was the one who went out to buy the medicine.,hostess,self,+ve,judgement,invoke,evoke,,我买,up:isolated,都,contract:proclaim,都,
03:07.8,03:09.5,7,O,,,,Husband_H01_WH,茶水递她手上,Cháshuǐ dì tā shǒu shàng.,I put the tea on her hand.,hostess,self,+ve,judgement,invoke,evoke,,,,,monoglossic,,
03:09.5,03:11.3,8,O,I,S,Wife_H01_AW,Wife_H01_AW,那是[以前]的事,Nà shì yǐqián de shì.,That was the past.,antagonist,antagonist,-ve,judgement,invoke,contrast,,以前,,,monoglossic,,
,,,,,,Husband_H01_WH,Husband_H01_WH,[该吃吃],,,,,,,,,,,,,,,
03:12.5,03:14.5,9,,,,,Husband_H01_WH,就前段时间发生..你的胃..,Jiù qiánduàn shíjiān fāshēng.. nǐ de wèi..,It just happened recently. Your stomach.,antagonist,,,,,,,,,,,,
03:14.5,03:15.1,9,,,,,Husband_H01_WH,胃不好了..,wèi bù hǎole..,Your stomach was not good.,antagonist,,,,,,,,,,,,
03:15.1,03:16.8,9,,,,,Husband_H01_WH,也是我给你拿药的..对吧,yěshì wǒ gěi nǐ ná yào de.. duì ba,Again it was me who got you the medicine.. Is that right,antagonist,self,+ve,judgement,invoke,evoke,,,,,expand:entertain,是……的,对吧
03:17.1,03:20.8,10,O,,,Hostess_H01,Hostess_H01,郭先生的意思是..我还是那个我,Guō xiānshēng de yìsi shì.. wǒ háishì nàgè wǒ.,What Mr. Guo means is that I remains to be the same person.,husband,,,,,,,,,,,,
03:20.8,03:21.6,11,O,I,S,Husband_H01_WH,Husband_H01_WH,那是啊,Nà shì a.,That is true.,hostess,self,+ve,judgement,invoke,affirmation,,,,,contract:proclaim,还是,啊
03:21.6,03:23.0,12,O,I,S,Hostess_H01,Hostess_H01,我对你依然还是那个样子,Wǒ duì nǐ yīrán háishì nàgè yàngzi.,I still treat you in the same way.,husband,,,,,,,,,,,,
03:22.9,03:23.6,13,O,I,S,Husband_H01_WH,Husband_H01_WH,那是啊,Nà shì a.,That is true.,hostess,self,+ve,judgement,invoke,affirmation,,,,,contract:proclaim,还是,啊
03:23.8,03:25.7,14,,I,S,Hostess_H01,Hostess_H01,可是现在你的心态不对了,Kěshì xiànzài nǐ de xīntài bùduìle.,But now your mentality has changed.,husband,,,,,,,,,,,,
03:25.7,03:26.8,15,,I,S,Husband_H01_WH,Husband_H01_WH,那就是啊,Nà jiùshì a.,Exactly.,hostess,antagonist,-ve,judgement,invoke,affirmation,,,,,contract:disclaim,可是,啊
03:26.8,03:47.0,15,,,,Voiceover,Voiceover,voiceover,,,,,,,,,,,,,,,
03:47.0,03:49.6,16,,,,Wife_H01_AW,Wife_H01_AW,去年11月3号..他的手机递给我,Qùnián 11 yuè 3 hào.. tā de shǒujī dì gěi wǒ.,On November 3 last year.. he handed me his mobile phone.,hostess,,,,,,,,,,,,
03:49.6,03:52.0,16,,,,,Wife_H01_AW,他说要给儿子定闹钟,Tā shuō yào gěi érzi dìng nàozhōng.,He said that he wanted to set an alarm for his son.,hostess,,,,,,,,,,,,
03:52.0,03:57.6,16,,,,,Wife_H01_AW,我就拿过来看到他微信界面加有那个女人的微信,Wǒ jiù ná guòlái kàn dào tā wēixìn jièmiàn jiā yǒu nàgè nǚrén de wéi xìn.,I took over the phone and found on WeChat.. he added that woman as a friend.,hostess,,,,,,,,,,,,
03:57.6,03:59.8,16,,,,,Wife_H01_AW,排在第一排上面,Pái zài dì yī pái shàngmiàn.,Her contact was on the top of the list.,hostess,antagonist,-ve,judgement,invoke,evoke,,,,,monoglossic,,
03:59.8,04:01.7,16,,,,,Wife_H01_AW,我就很明显地能看见,Wǒ jiù hěn míngxiǎn de néng kànjiàn.,It's very obvious for me to see it.,hostess,antagonist,-ve,judgement,invoke,evoke,,能看见,up:isolated,明显,contract:proclaim,就,
04:01.7,04:04.8,16,,,,,Wife_H01_AW,我就把那个微信..他的聊天记录点开,Wǒ jiù bǎ nàgè wēixìn.. tā de liáotiān jìlù diǎn kāi.,I checked that WeChat contact. I checked his chat history.,hostess,,,,,,,,,,,,
04:04.8,04:08.8,16,,,,,Wife_H01_AW,里面的聊天内容就是..他去招呼那个女人,Lǐmiàn de liáotiān nèiróng jiùshì.. tā qù zhāohū nàgè nǚrén.,The content of the chat was that he greeted the woman.,hostess,antagonist,-ve,judgement,invoke,quotation:other,,内容就是,,,contract:proclaim,就,
04:08.8,04:13.4,16,,,,,Wife_H01_AW,然后那个女人回答他的话就是..你想我了吗,Ránhòu nàgè nǚrén huídá tā dehuà jiùshì.. nǐ xiǎng wǒle ma,Then the woman answered him. Did you miss me,hostess,intruder,-ve,judgement,invoke,quotation:other,,回答,,,contract:proclaim,就,
04:13.4,04:15.8,16,,,,,Wife_H01_AW,想我了就下来看我,Xiǎng wǒle jiù xiàlái kàn wǒ.,If you miss me.. just come downstairs and see me.,hostess,,,,,,,,,,,,
04:15.8,04:19.1,16,,,,,Wife_H01_AW,当时我看到这里我就已经气得忍不住..,Dāngshí wǒ kàn dào zhèlǐ wǒ jiù yǐjīng qì dé rěn bù zhù.,When I read this.. I was so angry that I couldn’t hold my anger.,hostess,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,气,up:isolated,忍不住,monoglossic,,
04:19.1,04:21.5,16,,,,,Wife_H01_AW,把手机电话都给他摔了…,Bǎ shǒujī diànhuà dōu gěi tā shuāile.,I threw his mobile phone onto the floor.,hostess,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,气,up:isolated,摔手机,monoglossic,,
04:21.5,04:23.3,17,,I,S,Husband_H01_WH,Husband_H01_WH,微信上面开个玩笑,Wēixìn shàngmiàn kāi gè wánxiào.,We were just kidding on WeChat.,hostess,self,+ve,judgement,invoke,evoke,,,,,monoglossic,,
04:23.3,04:24.6,17,,,,,Husband_H01_WH,因为都是邻居嘛,Yīnwèi dōu shì línjū ma.,Because we were neighbours.,hostess,,,,,,,,,,,,
04:24.6,04:27.3,17,,,,,Husband_H01_WH,经常在下面打牌嘛,Jīngcháng zài xiàmiàn dǎpái ma.,I often play cards downstairs.,hostess,,,,,,,,,,,,
04:27.3,04:31.6,17,,,,,Husband_H01_WH,有时候就语言上开个玩笑,Yǒu shíhòu jiù yǔyán shàng kāi gè wánxiào.,Sometimes we literally kid with each other.,hostess,self,+ve,judgement,invoke,proclaim,,,,,contract:proclaim,因为,嘛
04:31.6,04:37.1,17,,,,,Husband_H01_WH,并且我这个人啊..也本来就是对这个生活也是不严谨,Bìngqiě wǒ zhège rén a.. yě běnlái jiùshì duì zhège shēnghuó yěshì bù yánjǐn.,And for me.. I am not a serious person about this part of life.,hostess,self,+ve,judgement,invoke,contrast,,本来,,,expand:entertain,我这个人,啊
04:37.1,04:40.6,17,,,,,Husband_H01_WH,经常跟别人乱开玩笑的那种,Jīngcháng gēn biérén luàn kāiwánxiào dì nà zhǒng.,I always make improper jokes with others.,hostess,self,+ve,judgement,invoke,contrast,,本来,up:isolated,经常,monoglossic,,
04:40.6,04:43.9,17,,,,,Husband_H01_WH,我的生活态度她是知道的,Wǒ de shēnghuó tàidù tā shì zhīdào de.,She knows my attitude towards life.,hostess,self,+ve,judgement,invoke,quotation:other,,她知道,,,contract:proclaim,是……的,
04:43.9,04:48.0,17,,,,,Husband_H01_WH,我开玩笑..不仅仅是跟这个女人开过玩笑,Wǒ kāiwánxiào.. bùjǐn jǐn shì gēn zhège nǚrén kāiguò wánxiào.,I speak in a joking way.. not only with this woman..,hostess,,,,,,,,,,contract:disclaim,,
04:48.0,04:50.7,17,O,,,,Husband_H01_WH,跟其他的也开玩[笑],Gēn qítā de yě kāiwánxiào.,but with others.. too.,hostess,self,+ve,judgement,invoke,contrast,,不仅,,,monoglossic,,
04:50.7,04:51.5,18,O,I,S,Hostess_H01,Hostess_H01,[你的]意思[是],Nǐ de yìsi shì..,You mean..,husband,,,,,,,,,,,,
04:51.2,04:52.1,19,O,I,S,Husband_H01_WH,Husband_H01_WH,[她从不]介意,tā cóng bù jièyì.,She never minds.,hostess,self,+ve,judgement,invoke,contrast,,从不介意,up:isolated,从不,contract:disclaim,不,
04:52.1,04:53.7,19,,,,,Husband_H01_WH,她就介意这个女人,Tā jiù jièyì zhège nǚrén.,She minds this woman only.,hostess,antagonist,-ve,judgement,invoke,contrast,,就介意,,,contract:proclaim,就,
04:53.7,05:00.3,20,,I,S,Wife_H01_AW,Wife_H01_AW,这个女性之前在我们14年就为她吵过架,Zhège nǚxìng zhīqián zài wǒmen 14 nián jiù wèi tā chǎoguò jià.,We had previously quarrelled with each other for this woman in 2014.,hostess,antagonist,-ve,judgement,invoke,evoke,,为她吵架,up:isolated,14年,contract:proclaim,就,
05:00.3,05:04.0,20,,,,,Wife_H01_AW,14年中午的时候他说他要个某个朋友打电话,14 Nián zhōngwǔ de shíhòu tā shuō tā yào gè mǒu gè péngyǒu dǎ diànhuà.,One day in 2014.. at noon.. he said he wanted to call a friend.,hostess,,,,,,,,,,,,
05:04.0,05:06.3,20,,,,,Wife_H01_AW,叫我把他的电话拿出来,Jiào wǒ bǎ tā de diànhuà ná chūlái.,He asked me to pass his phone to him.,hostess,,,,,,,,,,,,
05:06.3,05:09.4,20,,,,,Wife_H01_AW,把那个电话翻出来给他,Bǎ nàgè diànhuà fān chūlái gěi tā.,He asked me to find out the contact for him.,hostess,,,,,,,,,,,,
05:09.4,05:10.4,20,,,,,Wife_H01_AW,就说打给对方,Jiù shuō dǎ gěi duìfāng.,He wanted to call the friend.,hostess,,,,,,,,,,,,
05:10.4,05:13.8,20,,,,,Wife_H01_AW,因为他以前存电话全是我给他存的,Yīnwèi tā yǐqián cún diànhuà quán shì wǒ gěi tā cún de.,Because in the past.. I saved all the contacts for him.,hostess,,,,,,,,,,,,
05:13.8,05:15.8,20,,,,,Wife_H01_AW,有哪些人我大概心里有数,Yǒu nǎxiē rén wǒ dàgài xīn li yǒushù.,I roughly knew who his contacts were.,hostess,,,,,,,,,,,,
05:15.8,05:19.7,20,,,,,Wife_H01_AW,在翻的同时我就看见存了那个女人的电话,Zài fān de tóngshí wǒ jiù kànjiàn cúnle nàgè nǚrén de diànhuà.,While searching for the contact.. I saw that the woman’s phone number.,hostess,antagonist,-ve,judgement,invoke,evoke,,,,,monoglossic,,
05:21.2,05:27.1,20,,,,,Wife_H01_AW,他以前在家楼下玩的时候..他们开玩笑开得很不正常…,Tā yǐqián zàijiā lóu xià wán de shíhòu.. tāmen kāiwánxiào kāi dé hěn bù zhèngcháng.,When he played cards downstairs previously.. they used to talk in a very abnormal way.,hostess,intruder,-ve,judgement,inscribe,,,不正常,,,monoglossic,,
05:27.1,05:29.8,20,,,,,Wife_H01_AW,因为我知道她不是个正经女人…,Yīnwèi wǒ zhīdào tā bùshì gè zhèngjīng nǚrén.,Because I knew she was not a responsible woman.,hostess,intruder,-ve,judgement,inscribe,,,不正经,,,contract:proclaim,因为,
05:29.8,05:31.2,20,,,,,Wife_H01_AW,我就打过招呼,Wǒ jiù dǎguò zhāohū.,I thus warned him. ,hostess,self,+ve,judgement,invoke,proclaim,,打过招呼,,,contract:proclaim,就,
05:31.2,05:35.6,20,,,,,Wife_H01_AW,我说你在下面说开玩笑要注意分寸,Wǒ shuō nǐ zài xiàmiàn shuō kāiwánxiào yào zhùyì fēncùn.,I said to him that you should pay attention to the way how you speak to her.,hostess,self,+ve,judgement,invoke,quotation:self,,我说,,,monoglossic,,
05:35.6,05:37.3,20,,,,,Wife_H01_AW,你是有家室的人,Nǐ shì yǒu jiā shì de rén.,You are a married person.,hostess,self,+ve,judgement,invoke,quotation:self,,我说,,,monoglossic,,
05:37.3,05:40.0,20,,,,,Wife_H01_AW,你说者无心..听者有意,Nǐ shuō zhě wúxīn.. tīng zhě yǒuyì.,What you said unintentional might be interpreted differently by the hearer.,hostess,self,+ve,judgement,invoke,quotation:self,,我说,,,monoglossic,,
05:40.0,05:41.1,20,,,,,Wife_H01_AW,别误会了,Bié wùhuìle.,Don't get yourself misunderstood.,hostess,self,+ve,judgement,invoke,quotation:self,,我说,,,monoglossic,,
05:41.1,05:42.9,20,,,,,Wife_H01_AW,你们在下面玩我不干涉,Nǐmen zài xiàmiàn wán wǒ bù gānshè.,It's ok that you play cards downstairs together and I won't interfere that.,hostess,self,+ve,judgement,invoke,quotation:self,,我说,,,monoglossic,,
05:42.9,05:45.6,20,,,,,Wife_H01_AW,但是你不能加她电话来联系,Dànshì nǐ bùnéng jiā tā diànhuà lái liánxì.,But you can't add her phone to contact afterwards.,hostess,self,+ve,judgement,invoke,quotation:self,,我说,,,monoglossic,,
05:45.6,05:47.8,20,,,,,Wife_H01_AW,当时他对我承诺..口头承诺过…,Dāngshí tā duì wǒ chéngnuò.. kǒutóu chéngnuòguò.,At that time he promised me..  made a verbal promise… ,hostess,antagonist in the past,+ve,judgement,inscribe,,,承诺,down:isolated,口头,monoglossic,,
05:47.8,05:50.5,20,,,,,Wife_H01_AW,从此不再和这个女人说话,Cóngcǐ bù zài hē zhège nǚrén shuōhuà.,He would no longer talk to this woman.,hostess,antagonist in the past,+ve,judgement,invoke,quotation:other,,承诺,,,monoglossic,,
05:50.5,05:52.4,21,,I,S,Hostess_H01,Hostess_H01,没想到他们又有微信往来,Méi xiǎngdào tāmen yòu yǒu wēixìn wǎnglái.,You did not expect them to have WeChat communications.,wife,,,,,,,,,,,,
05:52.4,05:53.0,22,,I,S,Wife_H01_AW,Wife_H01_AW,对,Duì.,Correct.,hostess,antagonist,-ve,judgement,invoke,affirmation,,没想到,,,monoglossic,,
05:53.0,05:54.6,22,,,,,Wife_H01_AW,就是特别地气愤,Jiùshì tèbié dì qìfèn.,It's that I was extremely angry,hostess,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,气,up:isolated,特别,contract:proclaim,就,
05:54.6,05:56.5,22,,,,,Wife_H01_AW,因为他极度地不尊重我,Yīnwèi tā jídù dì bù zūnzhòng wǒ.,Because he didn't respect me at all,hostess,antagonist,-ve,judgement,inscribe,,,不尊重,up:isolated,极度,contract:proclaim,因为,
05:56.5,05:58.0,22,,,,,Wife_H01_AW,我真的无法接受,Wǒ zhēn de wúfǎ jiēshòu.,I really couldn't accept it,hostess,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,无法接受,up:isolated,真的,contract:proclaim,真的,
05:58.0,06:00.8,22,,,,,Wife_H01_AW,我就问他..你为什么要这样做,Wǒ jiù wèn tā.. nǐ wèishéme yào zhèyàng zuò.,I asked him why you did this.,hostess,antagonist,-ve,judgement,invoke,quotation:self,,问,,,expand:entertain,问,
06:00.8,06:08.1,22,,,,,Wife_H01_AW,你当年14年对我承诺过的事情..为什么你还会出现这种微信,Nǐ dāngnián 14 nián duì wǒ chéngnuòguò de shìqíng.. wèishéme nǐ hái huì chūxiàn zhè zhǒng wēixìn,You promised me in 2014. Why do you have this kind of WeChat record,hostess,,,,,,,,,,,,
06:08.1,06:10.1,22,,,,,Wife_H01_AW,加起来聊这些语言,Jiā qǐlái liáo zhèxiē yǔyán,Why did you add each other and chat in such a manner,hostess,,,,,,,,,,,,
06:10.1,06:13.2,22,,,,,Wife_H01_AW,你若是看重我..你就不会做这些事,Nǐ ruòshì kànzhòng wǒ.. nǐ jiù bù huì zuò zhèxiē shì.,If you had valued me.. you would not have done these things,hostess,,,,,,,,,,,,
06:13.2,06:18.6,22,,,,,Wife_H01_AW,这件事情发生过后..我就会想我以往过的日子,Zhè jiàn shìqíng fāshēng guòhòu.. wǒ jiù huì xiǎng wǒ yǐwǎngguò de rìzi.,After this incident.. I recall the days in the past.,hostess,,,,,,,,,,,,
06:18.6,06:22.3,22,O,,,,Wife_H01_AW,[给我]感觉他们就是有不正常的关系,Gěi wǒ gǎnjué tāmen jiùshì yǒu bù zhèngcháng de guānxì.,I have a feeling that they have an abnormal relationship,hostess,antagonist,-ve,judgement,inscribe,,,不正常,,,expand:entertain,感觉,
06:18.6,06:19.0,23,O,,,Hostess_H01,Hostess_H01,[嗯],Ń.,Mhm.,wife,,,,,,,,,,,,
06:24.4,06:28.9,23,,,,,Hostess_H01,她刚才说她会这么难过是因为两年前你有承诺过她,Tā gāngcái shuō tā huì zhème nánguò shì yīnwèi liǎng nián qián nǐ yǒu chéngnuòguò tā.,She just said that the reason why she was so sad is because you made a promise two years ago.,husband,,,,,,,,,,,,
06:29.0,06:30.1,24,,I,S,Husband_H01_WH,Husband_H01_WH,当时是这样的,Dāngshí shì zhèyàng de.,The situation was like this.,hostess,,,,,,,,,,,,
06:30.1,06:33.6,24,O,,,,Husband_H01_WH,[因为]我没我根本就没把她当回事,Yīnwèi wǒ méi wǒ gēnběn jiù méi bǎ tā dāng huí shì,Because I didn’t I didn’t take her seriously at all.,hostess,self,+ve,judgement,invoke,denial,,没,up:isolated,根本,contract:proclaim,因为,
06:30.2,06:30.5,25,O,,,Hostess_H01,Hostess_H01,[嗯],ń.,Mhm.,husband,,,,,,,,,,,,
06:33.6,06:35.1,26,,,,Husband_H01_WH,Husband_H01_WH,你说我不跟她来往..,Nǐ shuō wǒ bù gēn tā láiwǎng..,You ask me not to talk to her.,hostess,,,,,,,,,,,,
06:35.1,06:36.5,26,,,,,Husband_H01_WH,我就不来往吧..对吧,wǒ jiù bù láiwǎng ba.. duì ba,Then I will not talk to her .. Is that right,hostess,self,+ve,judgement,invoke,denial,,不,,,expand:entertain,就,对吧
06:36.5,06:37.1,26,,,,,Husband_H01_WH,她在那打牌..,Tā zài nà dǎpái..,If she plays cards there.,hostess,,,,,,,,,,,,
06:37.1,06:38.0,26,,,,,Husband_H01_WH,我就不去嘛,wǒ jiù bù qù ma.,Then I will not go.,hostess,self,+ve,judgement,invoke,denial,,不,,,contract:proclaim,就,嘛
06:38.0,06:39.5,26,O,,,,Husband_H01_WH,也是这样做了,Yěshì zhèyàng zuòle.,This exactly what I did.,hostess,self,+ve,judgement,invoke,evoke,,,,,monoglossic,,
06:39.5,06:39.8,27,O,,,Hostess_H01,Hostess_H01,嗯,Ń.,Mhm.,husband,,,,,,,,,,,,
06:39.8,06:41.9,28,,,,Husband_H01_WH,Husband_H01_WH,当时对我来说..,Dāngshí duì wǒ lái shuō..,At that time.. for me..,hostess,,,,,,,,,,,,
06:41.9,06:44.1,28,,,,,Husband_H01_WH,才开始玩这个微信,cái kāishǐ wán zhège wēixìn.,I was a new user of WeChat.,hostess,self,+ve,judgement,invoke,evoke,,,,,expand:entertain,对我来说,
06:44.1,06:45.4,28,O,,,,Husband_H01_WH,很多[都不]懂,Hěnduō dōu bù dǒng.,There were many things I didn't understand,hostess,self,+ve,judgement,invoke,attitudinal token,,不,up:isolated,很多,contract:proclaim,都,
06:44.3,06:44.5,29,O,,,Hostess_H01,Hostess_H01,[嗯],Ń.,Mhm.,husband,,,,,,,,,,,,
06:45.4,06:47.2,30,,,,Husband_H01_WH,Husband_H01_WH,感觉好奇嘛,Gǎnjué hàoqí ma.,I simply felt curious.,hostess,self,+ve,judgement,invoke,attitudinal token,,,,,contract:proclaim,,嘛
